 Hello, jx, ith, ith_tot, ith_max =         104          19          20          20
 Hello, jx, ith, ith_tot, ith_max =         105           9          20          20
 Hello, jx, ith, ith_tot, ith_max =         106          17          20          20
 Hello, jx, ith, ith_tot, ith_max =         107          13          20          20
 Hello, jx, ith, ith_tot, ith_max =         108          10          20          20
 Hello, jx, ith, ith_tot, ith_max =         109           4          20          20
 Hello, jx, ith, ith_tot, ith_max =         110          11          20          20
 Hello, jx, ith, ith_tot, ith_max =         111           5          20          20
 Hello, jx, ith, ith_tot, ith_max =         112           2          20          20
 Hello, jx, ith, ith_tot, ith_max =         113           8          20          20
 Hello, jx, ith, ith_tot, ith_max =         119           1          20          20
 Hello, jx, ith, ith_tot, ith_max =         115          18          20          20
 Hello, jx, ith, ith_tot, ith_max =         116          15          20          20
 Hello, jx, ith, ith_tot, ith_max =         117          12          20          20
 Hello, jx, ith, ith_tot, ith_max =         118           3          20          20
 Hello, jx, ith, ith_tot, ith_max =         114          16          20          20
 Hello, jx, ith, ith_tot, ith_max =         120           7          20          20
 Hello, jx, ith, ith_tot, ith_max =         121           0          20          20
 Hello, jx, ith, ith_tot, ith_max =         122           6          20          20
 Hello, jx, ith, ith_tot, ith_max =         123          14          20          20
 Hello, jx, ith, ith_tot, ith_max =         124          19          20          20
 Hello, jx, ith, ith_tot, ith_max =         125           9          20          20
 Hello, jx, ith, ith_tot, ith_max =         126           4          20          20
 Hello, jx, ith, ith_tot, ith_max =         127          13          20          20
 Hello, jx, ith, ith_tot, ith_max =         128          10          20          20
 Hello, jx, ith, ith_tot, ith_max =         129          17          20          20
 Hello, jx, ith, ith_tot, ith_max =         130          11          20          20
 Hello, jx, ith, ith_tot, ith_max =         131           7          20          20
 Hello, jx, ith, ith_tot, ith_max =         132           5          20          20
 Hello, jx, ith, ith_tot, ith_max =         133          16          20          20
 Hello, jx, ith, ith_tot, ith_max =         134          18          20          20
 Hello, jx, ith, ith_tot, ith_max =         135           2          20          20
 Hello, jx, ith, ith_tot, ith_max =         138           8          20          20
 Hello, jx, ith, ith_tot, ith_max =         140          15          20          20
 Hello, jx, ith, ith_tot, ith_max =         137          12          20          20
 Hello, jx, ith, ith_tot, ith_max =         136           3          20          20
 Hello, jx, ith, ith_tot, ith_max =         139           1          20          20
 Hello, jx, ith, ith_tot, ith_max =         141           0          20          20
 Hello, jx, ith, ith_tot, ith_max =         142           6          20          20
 Hello, jx, ith, ith_tot, ith_max =         143          13          20          20
 Hello, jx, ith, ith_tot, ith_max =         144          14          20          20
 Hello, jx, ith, ith_tot, ith_max =         148          17          20          20
 Hello, jx, ith, ith_tot, ith_max =         150           2          20          20
 Hello, jx, ith, ith_tot, ith_max =         156          11          20          20
 Hello, jx, ith, ith_tot, ith_max =         145           9          20          20
 Hello, jx, ith, ith_tot, ith_max =         154           5          20          20
 Hello, jx, ith, ith_tot, ith_max =         153          10          20          20
 Hello, jx, ith, ith_tot, ith_max =         151          16          20          20
 Hello, jx, ith, ith_tot, ith_max =         152          18          20          20
 Hello, jx, ith, ith_tot, ith_max =         155           3          20          20
 Hello, jx, ith, ith_tot, ith_max =         149           7          20          20
 Hello, jx, ith, ith_tot, ith_max =         146          19          20          20
 Hello, jx, ith, ith_tot, ith_max =         147           4          20          20
 Hello, jx, ith, ith_tot, ith_max =         157           8          20          20
 Hello, jx, ith, ith_tot, ith_max =         158          12          20          20
 Hello, jx, ith, ith_tot, ith_max =         159          15          20          20
 Hello, jx, ith, ith_tot, ith_max =         160           1          20          20
 Hello, jx, ith, ith_tot, ith_max =         161           0          20          20
 Hello, jx, ith, ith_tot, ith_max =         162           6          20          20
 Hello, jx, ith, ith_tot, ith_max =         163          13          20          20
 Hello, jx, ith, ith_tot, ith_max =         164          14          20          20
 Hello, jx, ith, ith_tot, ith_max =         165           9          20          20
 Hello, jx, ith, ith_tot, ith_max =         166          19          20          20
 Hello, jx, ith, ith_tot, ith_max =         167          16          20          20
 Hello, jx, ith, ith_tot, ith_max =         168           3          20          20
 Hello, jx, ith, ith_tot, ith_max =         169          10          20          20
 Hello, jx, ith, ith_tot, ith_max =         172           2          20          20
 Hello, jx, ith, ith_tot, ith_max =         174          11          20          20
 Hello, jx, ith, ith_tot, ith_max =         176           8          20          20
 Hello, jx, ith, ith_tot, ith_max =         178           5          20          20
 Hello, jx, ith, ith_tot, ith_max =         171          18          20          20
 Hello, jx, ith, ith_tot, ith_max =         175          17          20          20
 Hello, jx, ith, ith_tot, ith_max =         170          12          20          20
 Hello, jx, ith, ith_tot, ith_max =         177           7          20          20
 Hello, jx, ith, ith_tot, ith_max =         173           4          20          20
 Hello, jx, ith, ith_tot, ith_max =         179          15          20          20
 Hello, jx, ith, ith_tot, ith_max =         180           0          20          20
 Hello, jx, ith, ith_tot, ith_max =         181           1          20          20
 Hello, jx, ith, ith_tot, ith_max =         182          13          20          20
 Hello, jx, ith, ith_tot, ith_max =         183           6          20          20
 Hello, jx, ith, ith_tot, ith_max =         184          14          20          20
 Hello, jx, ith, ith_tot, ith_max =         185           9          20          20
 Hello, jx, ith, ith_tot, ith_max =         186          19          20          20
 Hello, jx, ith, ith_tot, ith_max =         187          16          20          20
 Hello, jx, ith, ith_tot, ith_max =         188           3          20          20
 Hello, jx, ith, ith_tot, ith_max =         189          10          20          20
 Hello, jx, ith, ith_tot, ith_max =         190          12          20          20
 Hello, jx, ith, ith_tot, ith_max =         191          18          20          20
 Hello, jx, ith, ith_tot, ith_max =         193           2          20          20
 Hello, jx, ith, ith_tot, ith_max =         194          17          20          20
 Hello, jx, ith, ith_tot, ith_max =         195           8          20          20
 Hello, jx, ith, ith_tot, ith_max =         196          11          20          20
 Hello, jx, ith, ith_tot, ith_max =         192           4          20          20
 Hello, jx, ith, ith_tot, ith_max =         197           0          20          20
 Hello, jx, ith, ith_tot, ith_max =         198           1          20          20
 Hello, jx, ith, ith_tot, ith_max =         199          15          20          20
 Hello, jx, ith, ith_tot, ith_max =         200           7          20          20
 Hello, jx, ith, ith_tot, ith_max =         201           5          20          20
 Hello, jx, ith, ith_tot, ith_max =         202          12          20          20
 Hello, jx, ith, ith_tot, ith_max =         204           9          20          20
 Hello, jx, ith, ith_tot, ith_max =         211           4          20          20
 Hello, jx, ith, ith_tot, ith_max =         206           6          20          20
 Hello, jx, ith, ith_tot, ith_max =         207          14          20          20
 Hello, jx, ith, ith_tot, ith_max =         208          10          20          20
 Hello, jx, ith, ith_tot, ith_max =         209          18          20          20
 Hello, jx, ith, ith_tot, ith_max =         210          19          20          20
 Hello, jx, ith, ith_tot, ith_max =         212          13          20          20
 Hello, jx, ith, ith_tot, ith_max =         203           3          20          20
 Hello, jx, ith, ith_tot, ith_max =         205          16          20          20
 Hello, jx, ith, ith_tot, ith_max =         213           2          20          20
 Hello, jx, ith, ith_tot, ith_max =         214          17          20          20
 Hello, jx, ith, ith_tot, ith_max =         215          15          20          20
 Hello, jx, ith, ith_tot, ith_max =         220           0          20          20
 Hello, jx, ith, ith_tot, ith_max =         217           8          20          20
 Hello, jx, ith, ith_tot, ith_max =         218           1          20          20
 Hello, jx, ith, ith_tot, ith_max =         219           7          20          20
 Hello, jx, ith, ith_tot, ith_max =         216          11          20          20
 Hello, jx, ith, ith_tot, ith_max =         221           5          20          20
 Hello, jx, ith, ith_tot, ith_max =         222           3          20          20
 Hello, jx, ith, ith_tot, ith_max =         223          12          20          20
 Hello, jx, ith, ith_tot, ith_max =         224           9          20          20
 Hello, jx, ith, ith_tot, ith_max =         225          16          20          20
 Hello, jx, ith, ith_tot, ith_max =         226          18          20          20
 Hello, jx, ith, ith_tot, ith_max =         227          10          20          20
 Hello, jx, ith, ith_tot, ith_max =         228          14          20          20
 Hello, jx, ith, ith_tot, ith_max =         229           6          20          20
 Hello, jx, ith, ith_tot, ith_max =         230           4          20          20
 Hello, jx, ith, ith_tot, ith_max =         231          19          20          20
 Hello, jx, ith, ith_tot, ith_max =         232           0          20          20
 Hello, jx, ith, ith_tot, ith_max =         234           8          20          20
 Hello, jx, ith, ith_tot, ith_max =         238           1          20          20
 Hello, jx, ith, ith_tot, ith_max =         237          17          20          20
 Hello, jx, ith, ith_tot, ith_max =         233           7          20          20
 Hello, jx, ith, ith_tot, ith_max =         236           5          20          20
 Hello, jx, ith, ith_tot, ith_max =         239          11          20          20
 Hello, jx, ith, ith_tot, ith_max =         240          15          20          20
 Hello, jx, ith, ith_tot, ith_max =         235          13          20          20
 Hello, jx, ith, ith_tot, ith_max =         241           2          20          20
 Hello, jx, ith, ith_tot, ith_max =         242           3          20          20
 Hello, jx, ith, ith_tot, ith_max =         243          12          20          20
 Hello, jx, ith, ith_tot, ith_max =         244           9          20          20
 Hello, jx, ith, ith_tot, ith_max =         245          19          20          20
 Hello, jx, ith, ith_tot, ith_max =         246          14          20          20
